Filename,Camera,Model,Detected_Diameter_mm,Status
cam1__YCA__44880__20260410_201931_120750.jpg,cam1,YCA,12.94,2
cam2__YCA__44880__20260410_201931_139095.jpg,cam2,YCA,13.06,2
cam1__YED__26322__20260410_202022_438274.jpg,cam1,YED,15.06,2
cam2__YED__26322__20260410_202022_476759.jpg,cam2,YED,15.18,2
cam1__YCA__44881__20260410_202116_881949.jpg,cam1,YCA,12.94,2
cam2__YCA__44881__20260410_202116_878551.jpg,cam2,YCA,12.71,1
cam2__YED__26323__20260410_202208_460021.jpg,cam2,YED,15.18,2
cam1__YED__26323__20260410_202208_429128.jpg,cam1,YED,15.18,2
cam2__YED__57775__20260410_202317_041508.jpg,cam2,YED,14.94,2
cam1__YED__57775__20260410_202317_049979.jpg,cam1,YED,15.18,2
cam1__YCA__5666__20260410_202417_406095.jpg,cam1,YCA,13.06,2
cam2__YCA__5666__20260410_202417_393732.jpg,cam2,YCA,13.18,2
cam1__YED__57776__20260410_202507_000479.jpg,cam1,YED,15.18,2
cam2__YED__57776__20260410_202506_918916.jpg,cam2,YED,15.18,2
cam2__YED__26324__20260410_202603_276318.jpg,cam2,YED,15.06,2
cam1__YED__26324__20260410_202603_260630.jpg,cam1,YED,15.18,2
cam2__YCA__44882__20260410_202655_587317.jpg,cam2,YCA,12.94,2
cam1__YCA__44882__20260410_202655_726190.jpg,cam1,YCA,13.18,2
cam2__YED__26325__20260410_202746_071529.jpg,cam2,YED,14.94,2
cam1__YED__26325__20260410_202746_173044.jpg,cam1,YED,15.18,2
cam2__YED__57777__20260410_202843_402934.jpg,cam2,YED,15.18,2
cam1__YED__57777__20260410_202843_461246.jpg,cam1,YED,15.18,2
cam2__YED__26326__20260410_202936_782136.jpg,cam2,YED,15.18,2
cam1__YED__26326__20260410_202936_772663.jpg,cam1,YED,15.18,2
cam2__YCA__44883__20260410_203033_284267.jpg,cam2,YCA,12.71,1
cam1__YCA__44883__20260410_203033_279256.jpg,cam1,YCA,12.94,2
cam2__YED__26327__20260410_203122_692717.jpg,cam2,YED,15.18,2
cam1__YED__26327__20260410_203122_671060.jpg,cam1,YED,15.06,2
cam1__YED__57778__20260410_203217_159728.jpg,cam1,YED,15.18,2
cam2__YED__57778__20260410_203217_190487.jpg,cam2,YED,15.18,2
cam2__YCA__5667__20260410_203310_624281.jpg,cam2,YCA,13.06,2
cam1__YCA__5667__20260410_203310_622278.jpg,cam1,YCA,12.94,2
cam2__YED__57779__20260410_203359_913037.jpg,cam2,YED,15.06,2
cam1__YED__57779__20260410_203359_912035.jpg,cam1,YED,15.18,2
cam2__YED__26328__20260410_203456_496781.jpg,cam2,YED,14.94,2
cam1__YED__26328__20260410_203456_490413.jpg,cam1,YED,15.18,2
cam2__YCA__44884__20260410_203551_884102.jpg,cam2,YCA,12.94,2
cam1__YCA__44884__20260410_203551_872373.jpg,cam1,YCA,12.71,1
cam2__YED__26329__20260410_203646_484236.jpg,cam2,YED,14.94,2
cam1__YED__26329__20260410_203646_401270.jpg,cam1,YED,14.94,2
cam1__YCA__44885__20260410_203740_783210.jpg,cam1,YCA,13.18,2
cam2__YCA__44885__20260410_203740_749808.jpg,cam2,YCA,13.18,2
cam2__YED__26330__20260410_203831_087395.jpg,cam2,YED,15.18,2
cam1__YED__26330__20260410_203831_111132.jpg,cam1,YED,15.18,2
cam2__YED__57780__20260410_203925_615966.jpg,cam2,YED,15.18,2
cam1__YED__57780__20260410_203925_477372.jpg,cam1,YED,15.18,2
cam2__YED__26331__20260410_204019_038544.jpg,cam2,YED,14.94,2
cam1__YED__26331__20260410_204019_034458.jpg,cam1,YED,15.06,2
cam2__YCA__44886__20260410_204127_410158.jpg,cam2,YCA,12.94,2
cam1__YCA__44886__20260410_204127_477190.jpg,cam1,YCA,13.06,2
cam2__YED__26332__20260410_204218_881854.jpg,cam2,YED,14.71,1
cam1__YED__26332__20260410_204218_909657.jpg,cam1,YED,15.18,2
cam1__YCA__44887__20260410_204313_308110.jpg,cam1,YCA,12.94,2
cam1__YED__26333__20260410_204405_011369.jpg,cam1,YED,15.18,2
cam2__YCA__44887__20260410_204313_308110.jpg,cam2,YCA,N/A,0
cam1__YCA__44888__20260410_204502_356913.jpg,cam1,YCA,13.18,2
cam2__YCA__44888__20260410_204502_274755.jpg,cam2,YCA,13.18,2
cam2__YED__26334__20260410_204553_702266.jpg,cam2,YED,15.06,2
cam1__YED__26334__20260410_204553_709058.jpg,cam1,YED,15.18,2
cam2__YED__57781__20260410_204648_096287.jpg,cam2,YED,15.18,2
cam1__YED__57781__20260410_204648_056782.jpg,cam1,YED,14.71,1
cam1__YED__26335__20260410_204740_541452.jpg,cam1,YED,15.18,2
